Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C182 Postcode 2011 to Statistical Area Level 3 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 July 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA3_CODE_2011,SA3_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2043,2043,11703,Sydney Inner City,1.0,100.0,,,,,,,
2044,2044,11702,Marrickville - Sydenham - Petersham,0.9911846,99.1184621,,,,,,,
2044,2044,11703,Sydney Inner City,0.0088154,0.8815379,,,,,,,
2045,2045,12002,Leichhardt,0.0038315,0.3831495,,,,,,,
2045,2045,12003,Strathfield - Burwood - Ashfield,0.9961685,99.6168505,,,,,,,
2046,2046,12001,Canada Bay,1.0,99.9999993,,,,,,,
2047,2047,12001,Canada Bay,1.0,100.0,,,,,,,
2048,2048,11702,Marrickville - Sydenham - Petersham,0.9994772,99.9477154,,,,,,,
2048,2048,12002,Leichhardt,0.0005228,0.0522846,,,,,,,
2049,2049,11702,Marrickville - Sydenham - Petersham,0.7269643,72.6964258,,,,,,,
2049,2049,12003,Strathfield - Burwood - Ashfield,0.2730357,27.3035742,,,,,,,
2050,2050,11702,Marrickville - Sydenham - Petersham,0.0210066,2.1006586,,,,,,,
2050,2050,11703,Sydney Inner City,0.9789934,97.8993414,,,,,,,
2052,2052,11802,Eastern Suburbs - South,1.0,100.0,,,,,,,
2060,2060,12104,North Sydney - Mosman,1.0,100.0,,,,,,,
2061,2061,12104,North Sydney - Mosman,1.0,100.0,,,,,,,
2062,2062,12101,Chatswood - Lane Cove,0.004075,0.4074982,,,,,,,
2062,2062,12104,North Sydney - Mosman,0.995925,99.5925018,,,,,,,
2063,2063,12101,Chatswood - Lane Cove,1.0,100.0,,,,,,,
2064,2064,12101,Chatswood - Lane Cove,1.0,100.0,,,,,,,
2065,2065,12101,Chatswood - Lane Cove,0.5601124,56.0112354,,,,,,,
2065,2065,12104,North Sydney - Mosman,0.4398876,43.9887646,,,,,,,
2066,2066,12101,Chatswood - Lane Cove,1.0,100.0,,,,,,,
2067,2067,12101,Chatswood - Lane Cove,1.0,100.0,,,,,,,
2068,2068,12101,Chatswood - Lane Cove,1.0,100.0,,,,,,,
2069,2069,12101,Chatswood - Lane Cove,0.3304609,33.0460885,,,,,,,
2069,2069,12103,Ku-ring-gai,0.6695391,66.9539115,,,,,,,
2070,2070,12103,Ku-ring-gai,1.0,100.0,,,,,,,
2071,2071,12103,Ku-ring-gai,1.0,100.0,,,,,,,
2072,2072,12103,Ku-ring-gai,1.0,100.0,,,,,,,
2073,2073,12103,Ku-ring-gai,1.0,100.0,,,,,,,
2074,2074,12103,Ku-ring-gai,1.0,99.9999995,,,,,,,
2075,2075,12103,Ku-ring-gai,1.0,100.0,,,,,,,
2076,2076,12102,Hornsby,0.3987537,39.8753696,,,,,,,
2076,2076,12103,Ku-ring-gai,0.6012463,60.1246304,,,,,,,
2077,2077,12102,Hornsby,1.0,100.0,,,,,,,
2079,2079,12102,Hornsby,1.0,100.0,,,,,,,
2080,2080,12102,Hornsby,1.0,100.0,,,,,,,
2081,2081,12102,Hornsby,1.0,100.0,,,,,,,
2082,2082,11502,Dural - Wisemans Ferry,0.0327559,3.2755857,,,,,,,
2082,2082,12102,Hornsby,0.9672441,96.7244143,,,,,,,
2083,2083,10201,Gosford,0.3247561,32.475607,,,,,,,
2083,2083,12102,Hornsby,0.6752439,67.524393,,,,,,,
2084,2084,12202,Pittwater,0.0043358,0.4335843,,,,,,,
2084,2084,12203,Warringah,0.9956642,99.5664157,,,,,,,
2085,2085,12203,Warringah,1.0,99.9999987,,,,,,,
2086,2086,12203,Warringah,1.0,100.0,,,,,,,
2087,2087,12203,Warringah,1.0,100.0,,,,,,,
2088,2088,12104,North Sydney - Mosman,1.0,100.0,,,,,,,
2089,2089,12104,North Sydney - Mosman,1.0,100.0,,,,,,,
2090,2090,12104,North Sydney - Mosman,1.0,100.0,,,,,,,
2092,2092,12201,Manly,1.0,100.0,,,,,,,
2093,2093,12201,Manly,0.5764769,57.6476855,,,,,,,
2093,2093,12203,Warringah,0.4235231,42.3523145,,,,,,,
2094,2094,12201,Manly,1.0,100.0,,,,,,,
2095,2095,12201,Manly,1.0,100.0,,,,,,,
2096,2096,12203,Warringah,1.0,100.0,,,,,,,
2097,2097,12203,Warringah,1.0,100.0,,,,,,,
2099,2099,12203,Warringah,1.0,100.0,,,,,,,
2100,2100,12203,Warringah,1.0,100.0,,,,,,,
2101,2101,12202,Pittwater,0.5854513,58.5451316,,,,,,,
2101,2101,12203,Warringah,0.4145487,41.4548684,,,,,,,
2102,2102,12202,Pittwater,1.0,100.0,,,,,,,
2103,2103,12202,Pittwater,1.0,100.0,,,,,,,
2104,2104,12202,Pittwater,1.0,100.0,,,,,,,
2105,2105,12202,Pittwater,1.0,100.0,,,,,,,
2106,2106,12202,Pittwater,1.0,100.0,,,,,,,
2107,2107,12202,Pittwater,1.0,100.0,,,,,,,
2108,2108,12202,Pittwater,1.0,100.0,,,,,,,
2109,2109,12602,Ryde - Hunters Hill,1.0,100.0,,,,,,,
2110,2110,12602,Ryde - Hunters Hill,1.0,100.0,,,,,,,
2111,2111,12602,Ryde - Hunters Hill,1.0,100.0,,,,,,,
2112,2112,12602,Ryde - Hunters Hill,1.0,100.0,,,,,,,
2113,2113,12602,Ryde - Hunters Hill,1.0,100.0,,,,,,,
2114,2114,12502,Carlingford,0.0007655,0.0765535,,,,,,,
2114,2114,12602,Ryde - Hunters Hill,0.9992345,99.9234465,,,,,,,
2115,2115,12502,Carlingford,1.0,100.0,,,,,,,
2116,2116,12502,Carlingford,1.0,100.0,,,,,,,
2117,2117,12502,Carlingford,1.0,99.9999992,,,,,,,
2118,2118,12502,Carlingford,1.0,99.9999959,,,,,,,
2119,2119,12502,Carlingford,0.2259116,22.5911554,,,,,,,
2119,2119,12601,Pennant Hills - Epping,0.7740884,77.4088446,,,,,,,
2120,2120,11501,Baulkham Hills,0.001056,0.1056041,,,,,,,
2120,2120,12102,Hornsby,0.6215827,62.1582669,,,,,,,
2120,2120,12601,Pennant Hills - Epping,0.3773613,37.736129,,,,,,,
2121,2121,12502,Carlingford,0.0394617,3.9461679,,,,,,,
2121,2121,12601,Pennant Hills - Epping,0.9517113,95.1711261,,,,,,,
2121,2121,12602,Ryde - Hunters Hill,0.0088271,0.882706,,,,,,,
2122,2122,12502,Carlingford,0.0019928,0.1992789,,,,,,,
2122,2122,12602,Ryde - Hunters Hill,0.9980072,99.8007211,,,,,,,
2123,2123,12504,Parramatta,1.0,100.0,,,,,,,
2125,2125,11501,Baulkham Hills,0.7671548,76.7154802,,,,,,,
2125,2125,12601,Pennant Hills - Epping,0.2328452,23.2845198,,,,,,,
2126,2126,11501,Baulkham Hills,0.9999827,99.9982692,,,,,,,
2127,2127,12501,Auburn,1.0,100.0,,,,,,,
2128,2128,12501,Auburn,1.0,100.0,,,,,,,
2129,2129,12003,Strathfield - Burwood - Ashfield,1.0,100.0,,,,,,,
2130,2130,12003,Strathfield - Burwood - Ashfield,1.0,100.0,,,,,,,
2131,2131,12003,Strathfield - Burwood - Ashfield,1.0,100.0,,,,,,,
2132,2132,12003,Strathfield - Burwood - Ashfield,1.0,99.9999963,,,,,,,
2133,2133,12003,Strathfield - Burwood - Ashfield,1.0,100.0,,,,,,,
2134,2134,12003,Strathfield - Burwood - Ashfield,1.0,99.9999992,,,,,,,
2135,2135,12001,Canada Bay,0.0001566,0.0156602,,,,,,,
2135,2135,12003,Strathfield - Burwood - Ashfield,0.9998434,99.9843398,,,,,,,
2136,2136,11902,Canterbury,0.0072831,0.7283132,,,,,,,
2136,2136,12003,Strathfield - Burwood - Ashfield,0.9927168,99.2716808,,,,,,,
2137,2137,12001,Canada Bay,1.0,99.9999991,,,,,,,
2138,2138,12001,Canada Bay,1.0,100.0,,,,,,,
2139,2139,12001,Canada Bay,1.0,100.0,,,,,,,
2140,2140,12003,Strathfield - Burwood - Ashfield,1.0,100.0,,,,,,,
2141,2141,12501,Auburn,1.0,100.0,,,,,,,
2142,2142,12503,Merrylands - Guildford,0.7573957,75.7395664,,,,,,,
2142,2142,12504,Parramatta,0.2426043,24.2604287,,,,,,,
