variable,value,freq,unweighted,weighted,diff
Q341_58,2,224,10.80559575,10.84217227,-0.03657651
Q341_58,3,427,20.59816691,20.46350574,0.134661163
Q341_58,4,386,18.62035697,18.59471136,0.025645609
Q341_58,5,346,16.6907863,16.64407674,0.046709557
Q341_58,6,560,27.01398939,27.0835326,-0.069543209
Q341_58,7,58,2.797877472,2.850699081,-0.052821608
Q341_59,1,121,5.836951278,5.919720902,-0.082769624
Q341_59,2,492,23.73371925,23.64155217,0.092167077
Q341_59,3,532,25.66328992,25.67597584,-0.012685926
Q341_59,4,281,13.55523396,13.45710095,0.09813301
Q341_59,5,177,8.538350217,8.421147388,0.117202829
Q341_59,6,403,19.44042451,19.57490177,-0.13447726
Q341_59,7,67,3.232030873,3.309600979,-0.077570106
Q341_60,1,137,6.608779547,6.747675331,-0.138895784
Q341_60,2,423,20.40520984,20.49124541,-0.086035573
Q341_60,3,523,25.22913652,25.07642239,0.152714126
Q341_60,4,304,14.6647371,14.63978806,0.024949036
Q341_60,5,202,9.744331886,9.49191364,0.252418246
Q341_60,6,423,20.40520984,20.53928587,-0.134076027
Q341_60,7,61,2.942595273,3.013669296,-0.071074024
Q341_61,1,157,7.573564882,7.717285003,-0.143720121
Q341_61,2,544,26.24216112,26.26432735,-0.022166235
Q341_61,3,538,25.95272552,25.84753284,0.105192677
Q341_61,4,272,13.12108056,13.14565476,-0.024574199
Q341_61,5,161,7.766521949,7.626971722,0.139550227
Q341_61,6,336,16.20839363,16.20177502,0.006618611
Q341_61,7,65,3.13555234,3.196453299,-0.060900959
Q343_143,1,463,22.33478051,21.88556041,0.449220102
Q343_143,2,657,31.69319826,31.72969949,-0.036501228
Q343_143,3,433,20.88760251,20.95009768,-0.062495174
Q343_143,4,125,6.029908345,6.217594305,-0.18768596
Q343_143,5,148,7.139411481,7.228455273,-0.089043792
Q343_143,6,196,9.454896286,9.512231111,-0.057334825
Q343_143,7,51,2.460202605,2.476361727,-0.016159123
Q343_144,1,201,9.696092619,9.326587721,0.369504898
Q343_144,2,426,20.54992764,20.33395189,0.215975748
Q343_144,3,563,27.15870719,27.25338758,-0.094680388
Q343_144,4,201,9.696092619,9.752703766,-0.056611146
Q343_144,5,245,11.81862036,12.01924028,-0.20061992
Q343_144,6,370,17.8485287,18.01732657,-0.168797871
Q343_144,7,67,3.232030873,3.296802194,-0.064771321
Q343_145,1,104,5.016883743,4.933204882,0.083678861
Q343_145,2,242,11.67390256,11.64916586,0.024736701
Q343_145,3,522,25.18089725,25.49428514,-0.313387894
Q343_145,4,359,17.31789677,17.28014135,0.037755423
Q343_145,5,410,19.77809937,19.74811464,0.029984729
Q343_145,6,377,18.18620357,18.00597328,0.180230292
Q343_145,7,59,2.846116739,2.889114851,-0.042998112
Q343_146,1,68,3.28027014,3.171029533,0.109240606
Q343_146,2,178,8.586589484,8.32933306,0.257256424
Q343_146,3,413,19.92281717,20.06922903,-0.146411858
Q343_146,4,365,17.60733237,17.69540779,-0.088075426
Q343_146,5,456,21.99710564,21.94525992,0.051845729
Q343_146,6,537,25.90448625,26.01558262,-0.111096372
Q343_146,7,56,2.701398939,2.774158043,-0.072759104
Q343_147,1,51,2.460202605,2.453329667,0.006872938
Q343_147,2,137,6.608779547,6.546060096,0.062719451
Q343_147,3,200,9.647853353,9.674753843,-0.026900491
Q343_147,4,143,6.898215147,6.985136252,-0.086921105
Q343_147,5,343,16.5460685,16.43302205,0.113046451
Q343_147,6,1135,54.75156778,54.7553312,-0.003763423
Q343_147,7,64,3.087313073,3.152366894,-0.065053821
Q343_148,1,99,4.77568741,4.730994719,0.044692691
Q343_148,2,249,12.01157742,11.78432476,0.227252662
Q343_148,3,435,20.98408104,21.07982107,-0.095740023
Q343_148,4,317,15.29184756,15.29600876,-0.004161193
Q343_148,5,345,16.64254703,16.80119353,-0.158646501
Q343_148,6,499,24.07139411,24.0745697,-0.003175581
Q343_148,7,129,6.222865412,6.233087468,-0.010222055
Q343_149,1,52,2.508441872,2.56099648,-0.052554609
Q343_149,2,118,5.692233478,5.566406995,0.125826483
Q343_149,3,213,10.27496382,10.39974877,-0.124784946
Q343_149,4,223,10.75735649,11.00785014,-0.250493652
Q343_149,5,548,26.43511819,26.08844178,0.346676408
Q343_149,6,833,40.18330921,40.16080816,0.02250105
Q343_149,7,86,4.148576942,4.215747677,-0.067170735
Q343_150,1,154,7.428847082,7.279703354,0.149143728
Q343_150,2,314,15.14712976,14.88843362,0.258696147
Q343_150,3,454,21.90062711,21.84173698,0.058890132
Q343_150,4,226,10.90207429,11.00309944,-0.101025153
Q343_150,5,309,14.90593343,14.93570415,-0.029770722
Q343_150,6,544,26.24216112,26.50323853,-0.261077408
Q343_150,7,72,3.473227207,3.548083929,-0.074856723
Q352_62,1,45,2.170767004,2.242100476,-0.071333472
Q352_62,2,167,8.055957549,7.981669417,0.074288132
Q352_62,3,435,20.98408104,21.17967655,-0.195595508
Q352_62,4,388,18.7168355,18.83251363,-0.115678127
Q352_62,5,566,27.30342499,27.14460172,0.158823273
Q352_62,6,423,20.40520984,20.23675773,0.168452114
Q352_62,7,49,2.363724071,2.382680484,-0.018956413
Q352_63,1,22,1.061263869,1.095567554,-0.034303685
Q352_63,2,110,5.306319344,5.469796685,-0.163477341
Q352_63,3,203,9.792571153,9.833297778,-0.040726625
Q352_63,4,238,11.48094549,11.47796514,0.002980347
Q352_63,5,474,22.86541245,22.68271567,0.182696775
Q352_63,6,960,46.30969609,46.24169982,0.067996273
Q352_63,7,66,3.183791606,3.198957351,-0.015165745
Q352_64,1,60,2.894356006,2.966074753,-0.071718747
Q352_64,2,161,7.766521949,7.782728981,-0.016207033
Q352_64,3,213,10.27496382,10.19972149,0.075242328
Q352_64,4,200,9.647853353,9.763687562,-0.115834209
Q352_64,5,366,17.65557164,17.46938073,0.186190907
Q352_64,6,1015,48.96285576,48.9741541,-0.01129834
Q352_64,7,58,2.797877472,2.844252379,-0.046374906
Q352_65,1,33,1.591895803,1.664277832,-0.072382029
Q352_65,2,112,5.402797877,5.498434904,-0.095637027
Q352_65,3,343,16.5460685,16.5113766,0.034691905
Q352_65,4,450,21.70767004,21.87276324,-0.1650932
Q352_65,5,654,31.54848046,31.70021279,-0.151732331
Q352_65,6,422,20.35697057,19.8970009,0.45996967
Q352_65,7,59,2.846116739,2.855933726,-0.009816987
Q352_66,1,29,1.398938736,1.455854523,-0.056915787
Q352_66,2,92,4.438012542,4.454947807,-0.016935265
Q352_66,3,261,12.59044863,12.79092597,-0.200477345
Q352_66,4,433,20.88760251,20.93523809,-0.047635583
Q352_66,5,700,33.76748673,33.8188557,-0.051368963
Q352_66,6,490,23.63724071,23.20435296,0.432887756
Q352_66,7,68,3.28027014,3.339824953,-0.059554813
Q352_67,1,24,1.157742402,1.229117066,-0.071374663
Q352_67,2,75,3.617945007,3.647700069,-0.029755062
Q352_67,3,152,7.332368548,7.365975353,-0.033606805
Q352_67,4,209,10.08200675,10.2078252,-0.125818443
Q352_67,5,671,32.368548,32.54259199,-0.174043994
Q352_67,6,853,41.14809455,40.65494224,0.493152312
Q352_67,7,89,4.293294742,4.351848087,-0.058553345
Q352_68,1,36,1.736613603,1.773257363,-0.036643759
Q352_68,2,86,4.148576942,4.178592424,-0.030015482
Q352_68,3,127,6.126386879,6.057700191,0.068686688
Q352_68,4,165,7.959479016,8.009480602,-0.050001586
Q352_68,5,295,14.2305837,14.2231145,0.007469199
Q352_68,6,1297,62.56632899,62.4996899,0.066639088
Q352_68,7,67,3.232030873,3.258165021,-0.026134148
Q352_69,1,98,4.727448143,4.859652076,-0.132203933
Q352_69,2,190,9.165460685,8.883487129,0.281973556
Q352_69,3,140,6.753497347,6.905264558,-0.151767211
Q352_69,4,114,5.499276411,5.444777547,0.054498864
Q352_69,5,179,8.634828751,8.573944335,0.060884415
Q352_69,6,1286,62.03569706,62.11516412,-0.079467061
Q352_69,7,66,3.183791606,3.217710236,-0.033918629
Q352_70,1,75,3.617945007,3.680975457,-0.06303045
Q352_70,2,206,9.937288953,9.929791359,0.007497594
Q352_70,3,195,9.406657019,9.467255092,-0.060598073
Q352_70,4,130,6.271104679,6.216717287,0.054387392
Q352_70,5,206,9.937288953,9.867007016,0.070281937
Q352_70,6,1194,57.59768452,57.52198818,0.075696339
Q352_70,7,67,3.232030873,3.316265612,-0.084234739
