Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C184 Postcode 2011 to Statistical Local Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SLA_MAINCODE_2011,SLA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
0852,0852,710400620,Central Desert (S),0.0823861,8.2386118,,,,,,,
0853,0853,710302200,Katherine (T),1.0,100.0,,,,,,,
0854,0854,710303600,Roper Gulf (S),1.0,100.0,,,,,,,
0860,0860,710350422,Barkly (S) - Tennant Creek,1.0,100.0,,,,,,,
0862,0862,710303600,Roper Gulf (S),0.0870661,8.7066096,,,,,,,
0862,0862,710350425,Barkly (S) Bal,0.9129339,91.2933904,,,,,,,
0870,0870,710400201,Alice Springs (T) - Charles,0.1925429,19.2542881,,,,,,,
0870,0870,710400203,Alice Springs (T) - Heavitree,0.0914864,9.1486448,,,,,,,
0870,0870,710400205,Alice Springs (T) - Larapinta,0.3526831,35.2683117,,,,,,,
0870,0870,710400207,Alice Springs (T) - Ross,0.2816473,28.1647255,,,,,,,
0870,0870,710400208,Alice Springs (T) - Stuart,0.0816403,8.1640299,,,,,,,
0872,0872,435250250,Anangu Pitjantjatjara (AC),0.1157318,11.5731833,,,,,,,
0872,0872,530056620,Ngaanyatjarraku (S),0.0626809,6.2680866,,,,,,,
0872,0872,540053220,East Pilbara (S),0.0200639,2.0063912,,,,,,,
0872,0872,710350425,Barkly (S) Bal,0.1574108,15.7410806,,,,,,,
0872,0872,710400620,Central Desert (S),0.2014449,20.1444902,,,,,,,
0872,0872,710402330,MacDonnell (S),0.3843322,38.433221,,,,,,,
0872,0872,710406059,Yulara,0.0583355,5.8335456,,,,,,,
0880,0880,710251300,East Arnhem (S),0.3305265,33.0526524,,,,,,,
0880,0880,710252409,Nhulunbuy,0.6694735,66.9473476,,,,,,,
0885,0885,710250419,Alyangula,1.0,100.0,,,,,,,
0886,0886,710154663,West Arnhem (S) - Jabiru,1.0,100.0,,,,,,,
0909,0909,705051014,Brinkin,1.0,100.0,,,,,,,
2000,2000,105057201,Sydney (C) - Inner,0.9990087,99.9008669,,,,,,,
2000,2000,105057206,Sydney (C) - West,0.0009913,0.0991298,,,,,,,
2006,2006,105057206,Sydney (C) - West,1.0,100.0,,,,,,,
2007,2007,105057201,Sydney (C) - Inner,0.074101,7.4100994,,,,,,,
2007,2007,105057206,Sydney (C) - West,0.925899,92.5899006,,,,,,,
2008,2008,105057205,Sydney (C) - South,0.3362205,33.6220469,,,,,,,
2008,2008,105057206,Sydney (C) - West,0.6637795,66.3779531,,,,,,,
2009,2009,105057206,Sydney (C) - West,1.0,100.0,,,,,,,
2010,2010,105057201,Sydney (C) - Inner,0.0135159,1.3515936,,,,,,,
2010,2010,105057204,Sydney (C) - East,0.9863269,98.6326866,,,,,,,
2010,2010,105057206,Sydney (C) - West,0.0001572,0.0157199,,,,,,,
2011,2011,105057201,Sydney (C) - Inner,0.0040329,0.4032912,,,,,,,
2011,2011,105057204,Sydney (C) - East,0.9959671,99.5967088,,,,,,,
2015,2015,105057205,Sydney (C) - South,1.0,100.0,,,,,,,
2016,2016,105057205,Sydney (C) - South,1.0,100.0,,,,,,,
2017,2017,105057205,Sydney (C) - South,1.0,100.0,,,,,,,
2018,2018,105051100,Botany Bay (C),0.6298111,62.9811064,,,,,,,
2018,2018,105057205,Sydney (C) - South,0.3701889,37.0188936,,,,,,,
2019,2019,105051100,Botany Bay (C),1.0,100.0,,,,,,,
2020,2020,105051100,Botany Bay (C),0.9999996,99.999961,,,,,,,
2021,2021,105057204,Sydney (C) - East,0.342628,34.2628014,,,,,,,
2021,2021,105108500,Woollahra (A),0.6573714,65.7371421,,,,,,,
2022,2022,105108050,Waverley (A),1.0,100.0,,,,,,,
2023,2023,105108500,Woollahra (A),1.0,100.0,,,,,,,
2024,2024,105108050,Waverley (A),1.0,100.0,,,,,,,
2025,2025,105108500,Woollahra (A),1.0,100.0,,,,,,,
2026,2026,105108050,Waverley (A),1.0,100.0,,,,,,,
2027,2027,105108500,Woollahra (A),1.0,100.0,,,,,,,
2028,2028,105108500,Woollahra (A),1.0,100.0,,,,,,,
2029,2029,105108050,Waverley (A),0.3971737,39.7173704,,,,,,,
2029,2029,105108500,Woollahra (A),0.6028263,60.2826296,,,,,,,
2030,2030,105108050,Waverley (A),0.4762834,47.62834,,,,,,,
2030,2030,105108500,Woollahra (A),0.5237166,52.37166,,,,,,,
2031,2031,105106550,Randwick (C),1.0,100.0,,,,,,,
2032,2032,105051100,Botany Bay (C),0.075631,7.5631046,,,,,,,
2032,2032,105106550,Randwick (C),0.924369,92.4368954,,,,,,,
2033,2033,105057205,Sydney (C) - South,0.0015149,0.1514946,,,,,,,
2033,2033,105106550,Randwick (C),0.9984851,99.8485054,,,,,,,
2034,2034,105106550,Randwick (C),1.0,100.0,,,,,,,
2035,2035,105051100,Botany Bay (C),0.1094433,10.944327,,,,,,,
2035,2035,105106550,Randwick (C),0.8905567,89.055673,,,,,,,
2036,2036,105051100,Botany Bay (C),0.2145049,21.4504861,,,,,,,
2036,2036,105106550,Randwick (C),0.7854951,78.5495139,,,,,,,
